"","id","oid","ind","alt","block","card","plants","native","pollin","appear","cost","choice","sq","city","Income","sur","type","freqv","timev","travelt","PlantGuess","plrich","NativeGuess","natper","ColourGuess","PollinGuess","Gender","age","AgeLevel","Education","Employment","CNS_ScaleMean","Charity","park...34","park...35","visittime","traveltime","dogs","adults","child","Task","plantsA","plantsB","plantsC","plantsD","nativeA","nativeB","nativeC","nativeD","pollinA","pollinB","pollinC","pollinD","appearA","appearB","appearC","appearD","costA","costB","costC","costD","ID"
"8210",8690,363,343,2,2,3,0,-1,0,2,10,1,0,3,15559,2,1,1,15,3,1,4,100,0.6875,1,1,0,5,55,3,4,4.076923077,0,"Pilrig_Control",11,15,3,1,2,0,1,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,343
"8215",8695,363,343,3,2,6,0,-1,2,2,5,1,0,3,15559,2,1,1,15,3,1,4,100,0.6875,1,1,0,5,55,3,4,4.076923077,0,"Pilrig_Control",11,15,3,1,2,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,343
"8217",8697,363,343,1,2,7,1,1,0,1,5,1,0,3,15559,2,1,1,15,3,1,4,100,0.6875,1,1,0,5,55,3,4,4.076923077,0,"Pilrig_Control",11,15,3,1,2,0,3,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,343
"8223",8703,363,343,3,2,8,2,1,0,3,40,1,0,3,15559,2,1,1,15,3,1,4,100,0.6875,1,1,0,5,55,3,4,4.076923077,0,"Pilrig_Control",11,15,3,1,2,0,4,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,343
"8226",8706,363,343,2,2,10,2,0,1,3,20,1,0,3,15559,2,1,1,15,3,1,4,100,0.6875,1,1,0,5,55,3,4,4.076923077,0,"Pilrig_Control",11,15,3,1,2,0,5,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,343
"8229",8709,363,343,1,2,11,1,1,0,3,5,1,0,3,15559,2,1,1,15,3,1,4,100,0.6875,1,1,0,5,55,3,4,4.076923077,0,"Pilrig_Control",11,15,3,1,2,0,6,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,343
"8235",8715,364,344,3,2,3,1,0,0,3,60,1,0,3,26000,2,1,2,30,5,30,4,50,0.6875,2,1,1,2,25,5,1,5.230769231,1,"Pilrig_Control",11,30,5,2,2,0,1,0,1,1,0,0,-1,1,0,0,2,0,0,1,2,0,0,0,5,40,0,344
"8237",8717,364,344,1,2,6,0,-1,2,3,40,1,0,3,26000,2,1,2,30,5,30,4,50,0.6875,2,1,1,2,25,5,1,5.230769231,1,"Pilrig_Control",11,30,5,2,2,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,344
"8244",8724,364,344,4,2,7,0,0,0,0,0,1,1,3,26000,2,1,2,30,5,30,4,50,0.6875,2,1,1,2,25,5,1,5.230769231,1,"Pilrig_Control",11,30,5,2,2,0,3,0,2,0,0,0,-1,0,0,1,2,1,0,0,0,3,0,10,60,5,0,344
"8246",8726,364,344,2,2,8,0,0,2,0,5,1,0,3,26000,2,1,2,30,5,30,4,50,0.6875,2,1,1,2,25,5,1,5.230769231,1,"Pilrig_Control",11,30,5,2,2,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,344
"8252",8732,364,344,4,2,10,0,0,0,0,0,1,1,3,26000,2,1,2,30,5,30,4,50,0.6875,2,1,1,2,25,5,1,5.230769231,1,"Pilrig_Control",11,30,5,2,2,0,5,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,344
"8254",8734,364,344,2,2,11,1,-1,1,3,20,1,0,3,26000,2,1,2,30,5,30,4,50,0.6875,2,1,1,2,25,5,1,5.230769231,1,"Pilrig_Control",11,30,5,2,2,0,6,2,0,1,0,-1,1,-1,0,2,1,0,0,2,1,1,0,20,10,20,0,344
"8257",8737,365,345,1,2,3,2,1,2,0,0,1,0,3,52000,2,1,2,10,2,1,4,75,0.6875,1,2,0,5,55,5,1,4.769230769,1,"Pilrig_Control",11,10,2,0,2,0,1,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,345
"8263",8743,365,345,3,2,6,0,-1,2,2,5,1,0,3,52000,2,1,2,10,2,1,4,75,0.6875,1,2,0,5,55,5,1,4.769230769,1,"Pilrig_Control",11,10,2,0,2,0,2,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,345
"8267",8747,365,345,3,2,7,2,-1,2,1,10,1,0,3,52000,2,1,2,10,2,1,4,75,0.6875,1,2,0,5,55,5,1,4.769230769,1,"Pilrig_Control",11,10,2,0,2,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,10,5,60,0,345
"8270",8750,365,345,2,2,8,0,0,2,0,5,1,0,3,52000,2,1,2,10,2,1,4,75,0.6875,1,2,0,5,55,5,1,4.769230769,1,"Pilrig_Control",11,10,2,0,2,0,4,0,1,2,0,1,0,-1,0,2,0,1,0,3,0,1,0,60,0,20,0,345
"8275",8755,365,345,3,2,10,0,1,1,0,5,1,0,3,52000,2,1,2,10,2,1,4,75,0.6875,1,2,0,5,55,5,1,4.769230769,1,"Pilrig_Control",11,10,2,0,2,0,5,1,0,2,0,0,1,0,0,1,1,1,0,2,1,2,0,20,60,5,0,345
